station_id,label,parameter,unit_name,qualifier
1814,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
264845TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
264845TP,rainfall-water-t-15_min-mm,rainfall,mm,Water
063518,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
48100,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
282781TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E1971,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
274918TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
531178,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
52228,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
48106,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
48192,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
1331,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
055223,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
551706,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
45230,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3687,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
051250,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3165,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
260221TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E15720,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E15720,rainfall-water-t-15_min-mm,rainfall,mm,Water
52102,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
074329,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E15520,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E15520,rainfall-water-t-15_min-mm,rainfall,mm,Water
E1965,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E15510,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
598928,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
43200,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
1712,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
287283TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3782,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3588,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
551440,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
